DeviceTag: Xsens XII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.701,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
742313,0.8609,0.1319,-0.3449,0.3500,-0.4748,-0.0143,0.1510,0
742480,0.8608,0.1320,-0.3449,0.3502,-0.4841,-0.0101,0.1252,0
742647,0.8608,0.1321,-0.3448,0.3504,-0.4740,-0.0125,0.1222,0
742813,0.8607,0.1322,-0.3447,0.3505,-0.4920,-0.0165,0.1320,0
742980,0.8607,0.1323,-0.3446,0.3507,-0.4684,-0.0105,0.1249,0
743147,0.8606,0.1324,-0.3445,0.3509,-0.4702,-0.0069,0.1313,0
743313,0.8606,0.1324,-0.3444,0.3511,-0.4875,-0.0124,0.1468,0
743480,0.8605,0.1325,-0.3443,0.3512,-0.4588,0.0012,0.1299,0
743647,0.8605,0.1326,-0.3442,0.3514,-0.4815,-0.0140,0.1237,0
743813,0.8604,0.1327,-0.3442,0.3516,-0.4658,-0.0020,0.1197,0
743980,0.8604,0.1328,-0.3441,0.3517,-0.4753,-0.0155,0.1419,0
744147,0.8603,0.1329,-0.3440,0.3519,-0.4730,-0.0289,0.1327,0
744313,0.8602,0.1330,-0.3439,0.3522,-0.4507,-0.0238,0.1272,0
744480,0.8602,0.1331,-0.3438,0.3523,-0.4529,-0.0200,0.1284,0
744647,0.8602,0.1332,-0.3437,0.3525,-0.4571,-0.0216,0.1381,0
744813,0.8601,0.1332,-0.3436,0.3527,-0.4548,-0.0242,0.1446,0
744980,0.8601,0.1333,-0.3435,0.3528,-0.4698,-0.0254,0.1216,0
745147,0.8600,0.1334,-0.3434,0.3531,-0.4437,-0.0144,0.1291,0
745313,0.8600,0.1335,-0.3433,0.3532,-0.4671,-0.0084,0.1470,0
745480,0.8599,0.1336,-0.3432,0.3534,-0.4436,-0.0110,0.1320,0
745647,0.8599,0.1337,-0.3431,0.3535,-0.4689,0.0045,0.1231,0
745813,0.8599,0.1338,-0.3430,0.3537,-0.4640,-0.0111,0.1421,0
745980,0.8599,0.1338,-0.3429,0.3538,-0.4447,-0.0046,0.1098,0
746147,0.8598,0.1339,-0.3428,0.3539,-0.4410,-0.0104,0.1103,0
746313,0.8598,0.1340,-0.3427,0.3541,-0.4525,-0.0204,0.1292,0
746480,0.8598,0.1340,-0.3426,0.3542,-0.4430,-0.0120,0.1265,0
746647,0.8597,0.1341,-0.3425,0.3543,-0.4387,-0.0008,0.1297,0
746813,0.8597,0.1342,-0.3424,0.3545,-0.4401,-0.0140,0.1275,0
746980,0.8597,0.1343,-0.3423,0.3546,-0.4416,-0.0148,0.1634,0
747147,0.8596,0.1344,-0.3422,0.3548,-0.4493,-0.0297,0.1725,0
747313,0.8596,0.1345,-0.3421,0.3549,-0.4353,-0.0062,0.1373,0
747480,0.8596,0.1345,-0.3420,0.3550,-0.4401,-0.0235,0.1297,0
747647,0.8596,0.1346,-0.3419,0.3552,-0.4243,-0.0204,0.1202,0
747813,0.8595,0.1347,-0.3418,0.3553,-0.4498,-0.0186,0.1523,0
747980,0.8595,0.1348,-0.3417,0.3554,-0.4237,-0.0232,0.1413,0
748147,0.8595,0.1348,-0.3416,0.3555,-0.4184,-0.0166,0.1449,0
748313,0.8595,0.1349,-0.3415,0.3556,-0.4348,-0.0046,0.1370,0
748480,0.8595,0.1350,-0.3414,0.3558,-0.4281,-0.0001,0.1381,0
748647,0.8594,0.1350,-0.3413,0.3559,-0.4440,-0.0185,0.1411,0
748813,0.8594,0.1351,-0.3412,0.3560,-0.4211,-0.0228,0.1480,0
748980,0.8594,0.1352,-0.3411,0.3562,-0.4173,-0.0265,0.1444,0
749147,0.8593,0.1353,-0.3410,0.3563,-0.4108,-0.0081,0.1499,0
749313,0.8593,0.1353,-0.3409,0.3564,-0.4000,-0.0186,0.1312,0
749480,0.8593,0.1354,-0.3408,0.3565,-0.4209,-0.0067,0.1241,0
749647,0.8593,0.1355,-0.3407,0.3566,-0.4335,-0.0283,0.1433,0
749813,0.8593,0.1355,-0.3406,0.3568,-0.4091,-0.0123,0.1491,0
749980,0.8592,0.1356,-0.3405,0.3569,-0.4020,0.0066,0.1444,0
750147,0.8592,0.1357,-0.3404,0.3570,-0.4177,-0.0171,0.1333,0
750313,0.8592,0.1358,-0.3403,0.3572,-0.4123,-0.0289,0.1493,0
750480,0.8592,0.1358,-0.3402,0.3573,-0.4065,-0.0105,0.1438,0
750647,0.8592,0.1359,-0.3401,0.3573,-0.4010,-0.0029,0.1389,0
750813,0.8591,0.1360,-0.3400,0.3575,-0.4134,-0.0208,0.1547,0
750980,0.8591,0.1360,-0.3399,0.3576,-0.3913,-0.0048,0.1270,0
751147,0.8591,0.1361,-0.3398,0.3577,-0.3887,-0.0057,0.1477,0
751313,0.8591,0.1362,-0.3397,0.3578,-0.3766,-0.0132,0.1272,0
751480,0.8591,0.1362,-0.3396,0.3579,-0.3911,0.0076,0.1345,0
751647,0.8591,0.1363,-0.3395,0.3580,-0.3823,0.0060,0.1244,0
751813,0.8590,0.1364,-0.3394,0.3581,-0.3827,0.0045,0.1290,0
751980,0.8590,0.1365,-0.3393,0.3582,-0.3829,-0.0116,0.1361,0
752147,0.8590,0.1365,-0.3392,0.3583,-0.3914,-0.0105,0.1452,0
752313,0.8590,0.1366,-0.3391,0.3585,-0.3545,0.0091,0.1256,0
752480,0.8590,0.1367,-0.3391,0.3585,-0.3966,-0.0083,0.1461,0
752647,0.8590,0.1367,-0.3390,0.3586,-0.3745,-0.0047,0.1294,0
752813,0.8589,0.1368,-0.3389,0.3587,-0.3834,-0.0133,0.1597,0
752980,0.8589,0.1368,-0.3388,0.3588,-0.3885,-0.0046,0.1441,0
753147,0.8589,0.1369,-0.3387,0.3589,-0.3756,-0.0114,0.1350,0
753313,0.8589,0.1370,-0.3386,0.3590,-0.3850,-0.0062,0.1398,0
753480,0.8589,0.1370,-0.3385,0.3590,-0.3682,-0.0168,0.1380,0
753647,0.8589,0.1371,-0.3384,0.3590,-0.3762,0.0018,0.1198,0
753813,0.8589,0.1371,-0.3384,0.3591,-0.3786,-0.0049,0.1476,0
753980,0.8589,0.1372,-0.3383,0.3592,-0.3692,-0.0149,0.1323,0
754147,0.8589,0.1373,-0.3382,0.3593,-0.3725,-0.0198,0.1350,0
754314,0.8589,0.1373,-0.3381,0.3593,-0.3582,0.0014,0.1271,0
754480,0.8589,0.1374,-0.3380,0.3594,-0.3627,-0.0154,0.1326,0
754647,0.8589,0.1374,-0.3379,0.3595,-0.3643,-0.0109,0.1287,0
754814,0.8589,0.1375,-0.3378,0.3595,-0.3572,-0.0047,0.1315,0
754980,0.8589,0.1375,-0.3377,0.3596,-0.3449,-0.0082,0.1339,0
755147,0.8589,0.1376,-0.3376,0.3597,-0.3524,-0.0137,0.1459,0
755314,0.8589,0.1376,-0.3375,0.3598,-0.3449,-0.0147,0.1249,0
755480,0.8589,0.1377,-0.3375,0.3598,-0.3586,-0.0194,0.1343,0
755647,0.8589,0.1377,-0.3374,0.3599,-0.3345,-0.0012,0.1381,0
755814,0.8589,0.1378,-0.3373,0.3599,-0.3516,-0.0250,0.1428,0
755980,0.8589,0.1378,-0.3372,0.3599,-0.3497,-0.0199,0.1445,0
756147,0.8589,0.1378,-0.3371,0.3600,-0.3427,-0.0086,0.1567,0
756314,0.8589,0.1379,-0.3371,0.3600,-0.3516,-0.0009,0.1387,0
756480,0.8590,0.1379,-0.3370,0.3600,-0.3539,-0.0123,0.1386,0
756647,0.8590,0.1380,-0.3369,0.3601,-0.3513,-0.0049,0.1411,0
756814,0.8590,0.1380,-0.3368,0.3601,-0.3324,-0.0156,0.1424,0
756980,0.8590,0.1380,-0.3367,0.3602,-0.3315,-0.0173,0.1331,0
757147,0.8590,0.1380,-0.3367,0.3601,-0.3491,-0.0111,0.1513,0
757314,0.8591,0.1380,-0.3366,0.3600,-0.3465,-0.0081,0.1331,0
757480,0.8591,0.1381,-0.3365,0.3600,-0.3154,-0.0008,0.1372,0
757647,0.8591,0.1381,-0.3365,0.3600,-0.3369,-0.0099,0.1370,0
757814,0.8592,0.1381,-0.3364,0.3600,-0.3088,0.0149,0.1135,0
757980,0.8592,0.1381,-0.3363,0.3599,-0.3393,0.0079,0.1509,0
758147,0.8593,0.1381,-0.3363,0.3599,-0.3202,-0.0022,0.1308,0
758314,0.8593,0.1381,-0.3362,0.3598,-0.3346,-0.0190,0.1461,0
758480,0.8594,0.1381,-0.3362,0.3597,-0.3166,0.0018,0.1427,0
758647,0.8594,0.1381,-0.3361,0.3597,-0.3242,-0.0033,0.1463,0
758814,0.8595,0.1381,-0.3361,0.3595,-0.3406,-0.0114,0.1425,0
758980,0.8596,0.1380,-0.3360,0.3593,-0.3383,-0.0259,0.1468,0
759147,0.8597,0.1380,-0.3360,0.3591,-0.2955,0.0012,0.1253,0
759314,0.8598,0.1379,-0.3359,0.3590,-0.3214,-0.0122,0.1406,0
759480,0.8599,0.1379,-0.3359,0.3588,-0.3126,0.0048,0.1190,0
759647,0.8600,0.1379,-0.3358,0.3586,-0.3145,-0.0058,0.1354,0
759814,0.8601,0.1378,-0.3358,0.3584,-0.3118,0.0056,0.1363,0
759980,0.8603,0.1377,-0.3358,0.3581,-0.3119,-0.0055,0.1388,0
760147,0.8604,0.1376,-0.3358,0.3578,-0.3174,-0.0042,0.1426,0
760314,0.8605,0.1375,-0.3357,0.3576,-0.3047,0.0136,0.1445,0
760480,0.8607,0.1374,-0.3357,0.3572,-0.3071,-0.0041,0.1333,0
