DeviceTag: Xsens X,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.529,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
39724764,0.4477,0.1618,-0.6630,0.5779,-0.2358,-0.3541,0.3302,0
39724930,0.4457,0.1600,-0.6643,0.5784,-0.5020,-0.3496,0.4013,0
39725097,0.4438,0.1575,-0.6657,0.5789,-0.6387,-0.3263,0.3011,0
39725264,0.4421,0.1551,-0.6669,0.5794,-0.4842,-0.5296,0.3187,0
39725430,0.4408,0.1532,-0.6674,0.5804,-0.3186,-0.7124,0.3968,0
39725597,0.4394,0.1518,-0.6675,0.5816,-0.3294,-0.6030,0.3244,0
39725764,0.4382,0.1505,-0.6673,0.5831,-0.5086,-0.4285,0.0053,0
39725930,0.4372,0.1496,-0.6673,0.5841,-0.3890,-0.4141,-0.0448,0
39726097,0.4364,0.1487,-0.6672,0.5850,-0.3200,-0.3481,-0.0036,0
39726264,0.4355,0.1482,-0.6673,0.5857,-0.4171,-0.1325,0.1557,0
39726430,0.4348,0.1473,-0.6672,0.5866,-0.2823,0.0173,-0.0166,0
39726597,0.4338,0.1465,-0.6676,0.5871,-0.0092,0.0462,0.0307,0
39726764,0.4323,0.1454,-0.6681,0.5879,0.0681,-0.0798,0.1460,0
39726930,0.4307,0.1440,-0.6687,0.5887,0.0470,-0.0239,-0.0712,0
39727097,0.4289,0.1428,-0.6694,0.5895,0.0024,-0.1387,-0.2474,0
39727264,0.4271,0.1416,-0.6703,0.5902,-0.1614,-0.1878,-0.1247,0
39727430,0.4253,0.1404,-0.6710,0.5909,-0.2327,-0.2406,-0.0147,0
39727597,0.4236,0.1394,-0.6717,0.5916,-0.3833,-0.2503,0.1012,0
39727764,0.4220,0.1380,-0.6724,0.5922,-0.4916,-0.2114,0.0319,0
39727930,0.4206,0.1366,-0.6730,0.5929,-0.4938,-0.2765,0.0750,0
39728097,0.4191,0.1355,-0.6734,0.5938,-0.2371,-0.4199,0.1749,0
39728264,0.4173,0.1354,-0.6735,0.5949,-0.2539,-0.6041,0.4689,0
39728430,0.4155,0.1356,-0.6729,0.5968,-0.3698,-0.4052,0.4573,0
39728597,0.4135,0.1358,-0.6728,0.5983,-0.5860,-0.3011,-0.0322,0
39728764,0.4118,0.1355,-0.6731,0.5991,-0.5615,-0.1112,-0.0636,0
39728930,0.4103,0.1352,-0.6736,0.5997,-0.0622,-0.2861,0.2459,0
39729097,0.4086,0.1351,-0.6731,0.6014,-0.0462,-0.1782,0.3143,0
39729264,0.4069,0.1352,-0.6726,0.6031,-0.3304,0.0818,-0.0725,0
39729431,0.4056,0.1352,-0.6722,0.6045,-0.4852,0.1594,-0.1885,0
39729597,0.4046,0.1351,-0.6720,0.6054,-0.4999,0.0449,-0.1121,0
39729764,0.4038,0.1345,-0.6720,0.6060,-0.4264,0.0536,-0.2760,0
39729931,0.4029,0.1339,-0.6726,0.6061,-0.4888,0.0227,-0.3055,0
39730097,0.4024,0.1332,-0.6730,0.6062,-0.3698,-0.0837,-0.0737,0
39730264,0.4020,0.1326,-0.6732,0.6064,-0.1284,-0.3020,0.1109,0
39730431,0.4013,0.1323,-0.6731,0.6069,-0.2280,-0.1513,0.1927,0
39730597,0.4006,0.1317,-0.6732,0.6074,-0.4222,-0.1489,0.0974,0
39730764,0.3999,0.1304,-0.6738,0.6075,-0.1290,-0.2040,-0.0448,0
39730931,0.3989,0.1291,-0.6747,0.6075,-0.0410,-0.2201,0.1005,0
39731097,0.3977,0.1280,-0.6756,0.6075,0.0219,-0.2670,0.4313,0
39731264,0.3965,0.1266,-0.6762,0.6078,-0.0868,-0.3942,0.6023,0
39731431,0.3952,0.1251,-0.6767,0.6085,-0.0668,-0.3175,0.2536,0
39731597,0.3937,0.1241,-0.6773,0.6090,0.0455,-0.3378,0.2720,0
39731764,0.3919,0.1229,-0.6777,0.6099,0.2476,-0.4164,0.3593,0
39731931,0.3897,0.1220,-0.6779,0.6113,0.1903,-0.4028,0.2067,0
39732097,0.3875,0.1217,-0.6778,0.6129,-0.0615,-0.3007,0.0791,0
39732264,0.3857,0.1217,-0.6773,0.6146,-0.1964,-0.3292,-0.0606,0
39732431,0.3839,0.1219,-0.6768,0.6162,-0.3268,-0.2860,-0.3377,0
39732597,0.3824,0.1220,-0.6767,0.6172,-0.6708,-0.1916,-0.4497,0
39732764,0.3811,0.1220,-0.6772,0.6175,-0.5710,-0.1071,-0.2869,0
39732931,0.3799,0.1221,-0.6776,0.6178,-0.5133,-0.0872,0.2147,0
