DeviceTag: Xsens XIII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.707,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
14454830,0.4029,0.6819,-0.2334,0.5641,-0.0585,-0.4221,0.0349,0
14454997,0.4029,0.6818,-0.2337,0.5641,-0.0870,-0.5642,0.1091,0
14455163,0.4031,0.6815,-0.2339,0.5642,-0.0946,-0.4965,0.0895,0
14455330,0.4035,0.6811,-0.2342,0.5644,-0.0694,-0.3415,0.0468,0
14455497,0.4039,0.6805,-0.2347,0.5645,-0.0607,-0.2571,0.0002,0
14455663,0.4042,0.6800,-0.2353,0.5647,-0.0340,-0.2929,-0.1328,0
14455830,0.4042,0.6797,-0.2356,0.5649,0.0309,-0.3856,-0.1471,0
14455997,0.4040,0.6794,-0.2357,0.5653,0.0445,-0.4280,-0.1591,0
14456163,0.4037,0.6793,-0.2357,0.5658,-0.0499,-0.3755,-0.1237,0
14456330,0.4034,0.6790,-0.2358,0.5662,-0.1260,-0.2961,-0.0360,0
14456497,0.4040,0.6783,-0.2368,0.5663,-0.1564,-0.2249,0.0459,0
14456663,0.4049,0.6772,-0.2380,0.5665,-0.1448,-0.3081,-0.0250,0
14456830,0.4051,0.6766,-0.2385,0.5668,-0.1531,-0.3904,-0.1162,0
14456997,0.4048,0.6766,-0.2385,0.5670,-0.2089,-0.4154,-0.0236,0
14457163,0.4046,0.6765,-0.2388,0.5671,-0.4138,-0.4097,0.0360,0
14457330,0.4045,0.6765,-0.2389,0.5671,-0.3129,-0.4899,0.1890,0
14457497,0.4045,0.6764,-0.2390,0.5672,-0.1676,-0.5429,0.1060,0
14457663,0.4046,0.6761,-0.2393,0.5674,-0.1897,-0.4384,0.0047,0
14457830,0.4047,0.6758,-0.2396,0.5675,-0.2211,-0.2943,-0.0787,0
14457997,0.4049,0.6753,-0.2402,0.5677,-0.2159,-0.2829,-0.0888,0
14458163,0.4056,0.6746,-0.2412,0.5677,-0.0801,-0.2938,-0.0072,0
14458330,0.4061,0.6737,-0.2422,0.5679,-0.0664,-0.4109,0.0225,0
14458497,0.4066,0.6730,-0.2430,0.5680,-0.0661,-0.4546,-0.0043,0
14458663,0.4070,0.6724,-0.2438,0.5682,-0.0571,-0.4291,-0.1016,0
14458830,0.4073,0.6718,-0.2444,0.5684,-0.0701,-0.3433,-0.0392,0
14458997,0.4075,0.6714,-0.2449,0.5685,-0.0883,-0.3589,-0.0085,0
14459163,0.4076,0.6710,-0.2454,0.5686,-0.1171,-0.4010,-0.0289,0
14459330,0.4076,0.6707,-0.2459,0.5687,-0.1304,-0.4703,-0.0368,0
14459497,0.4075,0.6705,-0.2466,0.5688,-0.1176,-0.4344,0.0149,0
14459663,0.4074,0.6703,-0.2471,0.5689,-0.1360,-0.3961,0.0520,0
14459830,0.4075,0.6701,-0.2476,0.5689,-0.1310,-0.5033,0.0700,0
14459997,0.4077,0.6696,-0.2481,0.5691,-0.1273,-0.4870,-0.0420,0
14460163,0.4081,0.6690,-0.2487,0.5692,-0.1292,-0.4004,-0.0870,0
14460330,0.4084,0.6684,-0.2493,0.5695,-0.0160,-0.3102,-0.0403,0
14460497,0.4087,0.6678,-0.2498,0.5698,0.0079,-0.2979,0.0029,0
14460663,0.4088,0.6673,-0.2503,0.5701,-0.0802,-0.3479,-0.0346,0
14460830,0.4089,0.6668,-0.2508,0.5703,-0.1273,-0.3805,-0.0200,0
14460997,0.4090,0.6663,-0.2514,0.5706,-0.1537,-0.3814,0.0081,0
14461163,0.4091,0.6657,-0.2519,0.5709,-0.2059,-0.4220,0.1219,0
14461330,0.4093,0.6651,-0.2523,0.5714,-0.1878,-0.5130,0.1465,0
14461497,0.4097,0.6642,-0.2528,0.5719,-0.2336,-0.4579,0.0212,0
14461663,0.4104,0.6633,-0.2535,0.5721,-0.3107,-0.3275,-0.0997,0
14461830,0.4113,0.6622,-0.2544,0.5724,-0.2639,-0.1985,-0.2259,0
14461997,0.4127,0.6609,-0.2560,0.5722,-0.1678,-0.2057,-0.0472,0
14462163,0.4141,0.6595,-0.2575,0.5721,-0.1566,-0.4682,0.0921,0
14462330,0.4154,0.6580,-0.2587,0.5723,-0.2555,-0.5736,0.0278,0
14462497,0.4164,0.6569,-0.2596,0.5725,-0.2107,-0.5054,-0.1292,0
14462664,0.4170,0.6561,-0.2603,0.5726,-0.2006,-0.3642,-0.1195,0
14462830,0.4174,0.6557,-0.2608,0.5726,-0.2146,-0.3224,0.0448,0
14462997,0.4177,0.6554,-0.2612,0.5725,-0.2024,-0.4718,0.1392,0
14463164,0.4183,0.6548,-0.2618,0.5725,-0.1648,-0.5733,0.1671,0
14463330,0.4190,0.6540,-0.2624,0.5726,-0.1902,-0.4426,0.0980,0
14463497,0.4196,0.6533,-0.2631,0.5726,-0.2112,-0.2906,0.0085,0
14463664,0.4201,0.6529,-0.2637,0.5725,-0.2694,-0.2574,-0.0330,0
14463830,0.4206,0.6526,-0.2642,0.5723,-0.2481,-0.3478,0.0392,0
14463997,0.4212,0.6520,-0.2649,0.5721,-0.1790,-0.3807,0.0841,0
14464164,0.4221,0.6513,-0.2657,0.5719,-0.2148,-0.3565,0.0083,0
14464330,0.4231,0.6505,-0.2666,0.5716,-0.2149,-0.3455,-0.0626,0
14464497,0.4240,0.6497,-0.2675,0.5714,-0.1071,-0.3726,-0.1188,0
14464664,0.4247,0.6489,-0.2684,0.5714,0.0068,-0.3540,-0.1476,0
14464830,0.4251,0.6484,-0.2691,0.5714,-0.0972,-0.4005,-0.0067,0
14464997,0.4256,0.6479,-0.2696,0.5713,-0.1348,-0.4019,-0.0221,0
14465164,0.4264,0.6472,-0.2705,0.5711,-0.1896,-0.3948,0.0268,0
14465330,0.4276,0.6462,-0.2713,0.5710,-0.0750,-0.2972,0.0284,0
14465497,0.4285,0.6454,-0.2723,0.5707,-0.1432,-0.2376,-0.1398,0
14465664,0.4290,0.6449,-0.2733,0.5704,-0.1536,-0.2893,-0.0681,0
14465830,0.4294,0.6446,-0.2741,0.5702,-0.0288,-0.3891,-0.0113,0
14465997,0.4297,0.6441,-0.2747,0.5700,-0.0961,-0.4617,0.0306,0
14466164,0.4302,0.6436,-0.2752,0.5700,-0.2260,-0.5103,0.0688,0
14466330,0.4309,0.6430,-0.2755,0.5701,-0.3112,-0.5063,0.0447,0
14466497,0.4319,0.6423,-0.2759,0.5699,-0.2707,-0.4712,0.1319,0
14466664,0.4331,0.6413,-0.2762,0.5700,-0.0463,-0.4138,0.1269,0
14466830,0.4345,0.6400,-0.2763,0.5703,0.0286,-0.3155,0.1061,0
14466997,0.4359,0.6386,-0.2758,0.5711,-0.0862,-0.3735,0.1214,0
14467164,0.4378,0.6366,-0.2748,0.5724,-0.0997,-0.5687,0.1242,0
14467330,0.4392,0.6352,-0.2734,0.5735,-0.0697,-0.6703,0.0373,0
14467497,0.4403,0.6344,-0.2718,0.5743,-0.0943,-0.6062,0.1524,0
14467664,0.4415,0.6337,-0.2704,0.5747,-0.2715,-0.5263,0.1752,0
14467830,0.4432,0.6327,-0.2695,0.5751,-0.5320,-0.4958,0.1834,0
14467997,0.4453,0.6311,-0.2691,0.5753,-0.5750,-0.3789,0.0591,0
14468164,0.4475,0.6295,-0.2693,0.5753,-0.3427,-0.2034,-0.1966,0
14468330,0.4497,0.6278,-0.2699,0.5751,-0.2406,-0.0646,-0.4534,0
14468497,0.4514,0.6266,-0.2707,0.5748,-0.2279,-0.1707,-0.4106,0
14468664,0.4532,0.6252,-0.2715,0.5744,-0.2128,-0.2745,-0.2244,0
14468830,0.4553,0.6236,-0.2724,0.5742,-0.0376,-0.3235,0.0034,0
14468997,0.4573,0.6219,-0.2733,0.5740,0.2361,-0.1654,-0.0735,0
14469164,0.4589,0.6203,-0.2746,0.5737,0.2073,-0.0779,-0.2266,0
14469330,0.4601,0.6192,-0.2759,0.5734,-0.0141,-0.0976,-0.2169,0
14469497,0.4610,0.6186,-0.2771,0.5727,-0.1595,-0.1441,-0.2183,0
14469664,0.4614,0.6187,-0.2781,0.5718,-0.3080,-0.3811,-0.1055,0
14469830,0.4619,0.6187,-0.2792,0.5709,-0.3665,-0.6146,0.1590,0
14469997,0.4628,0.6181,-0.2801,0.5703,-0.2771,-0.6963,0.3751,0
14470164,0.4641,0.6170,-0.2809,0.5701,0.0244,-0.5330,0.3651,0
14470330,0.4655,0.6158,-0.2821,0.5697,-0.0433,-0.3550,0.0778,0
14470497,0.4665,0.6150,-0.2830,0.5693,-0.0178,-0.4441,0.0531,0
14470664,0.4673,0.6144,-0.2832,0.5692,0.1740,-0.5428,0.0790,0
14470830,0.4684,0.6134,-0.2831,0.5694,0.2080,-0.4000,0.0522,0
14470997,0.4694,0.6124,-0.2832,0.5696,-0.0804,-0.2229,0.0412,0
14471164,0.4701,0.6118,-0.2833,0.5696,-0.2674,-0.2411,-0.0655,0
14471330,0.4708,0.6115,-0.2834,0.5694,-0.2985,-0.3370,-0.2031,0
14471497,0.4715,0.6109,-0.2837,0.5692,-0.2541,-0.3231,-0.1095,0
14471664,0.4725,0.6101,-0.2841,0.5690,-0.1340,-0.2059,-0.0947,0
14471830,0.4733,0.6094,-0.2847,0.5689,-0.0301,-0.1607,-0.2156,0
14471997,0.4736,0.6089,-0.2854,0.5687,-0.0241,-0.2023,-0.2050,0
14472164,0.4738,0.6086,-0.2861,0.5686,-0.0021,-0.2588,-0.0852,0
14472330,0.4741,0.6081,-0.2869,0.5685,-0.0544,-0.2783,-0.0546,0
14472497,0.4744,0.6077,-0.2878,0.5682,-0.2276,-0.3115,-0.0689,0
14472664,0.4745,0.6075,-0.2884,0.5679,-0.2702,-0.3722,-0.0841,0
14472830,0.4750,0.6070,-0.2891,0.5678,-0.1876,-0.3828,-0.0240,0
14472997,0.4759,0.6060,-0.2896,0.5678,-0.1915,-0.5010,0.1988,0
14473164,0.4776,0.6042,-0.2902,0.5680,-0.2249,-0.3787,0.1989,0
14473330,0.4791,0.6026,-0.2905,0.5683,-0.1802,-0.5902,0.1414,0
14473497,0.4811,0.6005,-0.2914,0.5684,-0.2204,-0.7526,0.1985,0
14473664,0.4832,0.5982,-0.2922,0.5686,-0.3025,-0.4129,0.0015,0
14473830,0.4848,0.5964,-0.2926,0.5688,-0.0773,0.1148,-0.2541,0
14473997,0.4855,0.5957,-0.2928,0.5690,-0.0362,0.1352,-0.1901,0
14474164,0.4858,0.5953,-0.2928,0.5691,-0.0797,-0.1549,0.0755,0
14474330,0.4864,0.5946,-0.2931,0.5691,-0.1580,-0.3386,0.0946,0
