DeviceTag: Xsens_IX,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.863,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
685345,0.8485,0.1767,-0.3415,0.3636,-0.0314,-0.5575,0.0876,0
685511,0.8485,0.1767,-0.3415,0.3636,-0.0384,-0.5616,0.0877,0
685678,0.8485,0.1768,-0.3415,0.3636,-0.0274,-0.5606,0.0756,0
685845,0.8484,0.1768,-0.3415,0.3637,-0.0258,-0.5599,0.0796,0
686011,0.8484,0.1768,-0.3415,0.3637,-0.0120,-0.5537,0.0636,0
686178,0.8484,0.1768,-0.3415,0.3637,-0.0323,-0.5416,0.0599,0
686345,0.8484,0.1768,-0.3415,0.3638,-0.0336,-0.5467,0.0848,0
686511,0.8484,0.1768,-0.3415,0.3638,-0.0491,-0.5521,0.1059,0
686678,0.8484,0.1768,-0.3415,0.3638,-0.0397,-0.5595,0.0837,0
686845,0.8484,0.1768,-0.3415,0.3638,-0.0225,-0.5439,0.0638,0
687011,0.8484,0.1768,-0.3415,0.3639,-0.0295,-0.5556,0.0929,0
687178,0.8484,0.1767,-0.3415,0.3639,-0.0328,-0.5552,0.1038,0
687345,0.8484,0.1767,-0.3415,0.3639,-0.0438,-0.5620,0.0934,0
687511,0.8484,0.1767,-0.3415,0.3639,-0.0413,-0.5364,0.0659,0
687678,0.8484,0.1767,-0.3415,0.3639,-0.0307,-0.5516,0.0873,0
687845,0.8484,0.1766,-0.3415,0.3640,-0.0373,-0.5475,0.0827,0
688011,0.8484,0.1766,-0.3415,0.3640,-0.0178,-0.5463,0.0637,0
688178,0.8484,0.1766,-0.3414,0.3640,-0.0444,-0.5624,0.0818,0
688345,0.8484,0.1765,-0.3414,0.3640,-0.0286,-0.5468,0.0849,0
688511,0.8484,0.1765,-0.3414,0.3640,-0.0391,-0.5546,0.0810,0
688678,0.8484,0.1765,-0.3414,0.3640,-0.0383,-0.5474,0.0827,0
688845,0.8484,0.1764,-0.3414,0.3640,-0.0222,-0.5390,0.0750,0
689011,0.8484,0.1764,-0.3414,0.3640,-0.0453,-0.5309,0.0669,0
689178,0.8484,0.1763,-0.3414,0.3640,-0.0336,-0.5365,0.0716,0
689345,0.8484,0.1763,-0.3414,0.3640,-0.0220,-0.5568,0.0613,0
689511,0.8485,0.1762,-0.3414,0.3640,-0.0333,-0.5538,0.0876,0
689678,0.8485,0.1762,-0.3414,0.3640,-0.0460,-0.5461,0.0810,0
689845,0.8485,0.1762,-0.3413,0.3640,-0.0251,-0.5456,0.0678,0
690011,0.8485,0.1761,-0.3413,0.3640,-0.0246,-0.5354,0.0684,0
690178,0.8485,0.1760,-0.3413,0.3640,-0.0183,-0.5393,0.0601,0
690345,0.8486,0.1760,-0.3413,0.3640,-0.0330,-0.5375,0.0872,0
690511,0.8486,0.1759,-0.3413,0.3640,-0.0349,-0.5500,0.0804,0
690678,0.8486,0.1759,-0.3413,0.3640,-0.0427,-0.5512,0.0786,0
690845,0.8486,0.1758,-0.3412,0.3640,-0.0257,-0.5389,0.0607,0
691011,0.8486,0.1757,-0.3412,0.3640,-0.0418,-0.5458,0.0643,0
691178,0.8487,0.1757,-0.3412,0.3640,-0.0298,-0.5229,0.0717,0
691345,0.8487,0.1756,-0.3412,0.3640,-0.0428,-0.5451,0.1059,0
691511,0.8487,0.1755,-0.3412,0.3639,-0.0455,-0.5237,0.0810,0
