Timestamp (s),Joint_Angle (deg)
17.496,40.21766193154234
17.5005,40.646918527925116
17.505,40.59249861627119
17.5095,41.157558667678465
17.514,41.10116140619742
17.5185,41.68867430818341
17.523,41.68828987333139
17.5275,42.26477132393923
17.532,42.337914412318945
17.5365,42.90038076039275
17.541,42.99989135846625
17.5455,43.53994054794957
17.55,43.53994054794957
17.5545,43.693360866016306
17.559,44.18498451876556
17.5635,44.41012334061897
17.568,44.75300421959023
17.5725,44.951133109392195
17.577,45.28723435205958
17.5815,45.42838975801584
17.586,45.74592706647565
17.5905,45.82332622463355
17.595,46.32705303406143
17.5995,46.489178435608736
17.604,47.04484330925201
17.6085,47.30787367675887
17.613,47.889211738609085
17.6175,47.889211738609085
17.622,48.13424293233071
17.6265,48.72104946378838
17.631,49.01198579996899
17.6355,49.415378981135376
17.64,49.73333393959741
17.6445,50.242147487416446
17.649,50.615967087133214
17.6535,51.11666388659962
17.658,51.5393289397258
17.6625,51.87930310830457
17.667,52.31720028860384
17.6715,52.87050710018701
17.676,52.87050710018701
17.6805,53.82576527964561
17.685,53.82576527964561
17.6895,54.95858983105119
17.694,54.95858983105119
17.6985,55.44805835473831
17.703,56.083604449103944
17.7075,56.497380236754594
17.712,56.946102828114654
17.7165,57.23813740521957
17.721,57.60658353344589
17.7255,57.838068512137426
17.73,58.13759267685438
17.7345,58.29353505532112
17.739,58.56495412686797
17.7435,58.56495412686797
17.748,58.982934659791646
17.7525,58.982934659791646
17.757,59.36464904291717
17.7615,59.36464904291717
17.766,59.48838437716132
17.7705,59.75407937853794
17.775,59.83454130416179
17.7795,60.08433287667561
17.784,60.1466882629492
17.7885,60.3446915008235
17.793,60.41764809492636
17.7975,60.55334245008951
17.802,60.55334245008951
17.8065,60.707097668178044
17.811,60.707097668178044
17.8155,60.84245217482206
17.82,60.84245217482206
17.8245,60.924639823253564
17.829,60.924639823253564
17.8335,60.90484717175539
17.838,60.929330066057304
17.8425,60.87371349934106
17.847,60.833707829215825
17.8515,60.75989122588212
17.856,60.650138896709215
17.8605,60.551033286692
17.865,60.377829792053895
17.8695,60.377829792053895
17.874,60.029261960860225
17.8785,60.029261960860225
17.883,59.64742967336257
17.8875,59.64742967336257
17.892,59.270767345821476
17.8965,59.270767345821476
17.901,59.165711615005506
17.9055,58.90200931036432
17.91,58.78280319148364
17.9145,58.52663809492689
17.919,58.38400345797761
17.9235,58.10469430934654
17.928,58.10469430934654
17.9325,57.62004209322679
17.937,57.62004209322679
17.9415,57.039038048960364
17.946,57.039038048960364
17.9505,56.36437681919768
17.955,56.36437681919768
17.9595,55.640507111828704
17.964,55.640507111828704
17.9685,55.36899140254424
17.973,55.095043389567294
17.9775,54.81897518746671
17.982,54.504986524033136
17.9865,54.504986524033136
17.991,53.77707049216705
17.9955,53.77707049216705
18.0,53.01072610107526
18.0045,53.01072610107526
18.009,52.12056449363371
18.0135,52.12056449363371
18.018,51.149813060205915
18.0225,51.149813060205915
18.027,50.09560157091966
18.0315,50.09560157091966
18.036,49.86318456190812
18.0405,49.37459694009306
18.045,49.196017189586016
18.0495,48.683067162630536
18.054,48.683067162630536
18.0585,47.842278251859646
18.063,47.842278251859646
18.0675,47.191044195951896
18.072,47.191044195951896
18.0765,46.623302568847386
18.081,46.623302568847386
18.0855,45.85289821588948
18.09,45.85289821588948
18.0945,45.22423041953279
18.099,45.22423041953279
18.1035,45.007713887884194
18.108,44.50452376250162
18.1125,44.30994442234682
18.117,43.79534768749197
18.1215,43.79534768749197
18.126,43.121655269329175
18.1305,43.121655269329175
18.135,42.51236240036115
18.1395,42.51236240036115
18.144,42.293797180947806
18.1485,42.293797180947806
18.153,41.91743850107032
18.1575,41.91743850107032
18.162,41.42878753876122
18.1665,41.42878753876122
18.171,40.946251036886586
18.1755,40.946251036886586
18.18,40.946251036886586
18.1845,40.51930209143256
18.189,40.51930209143256
18.1935,40.09439098509177
18.198,40.09439098509177
18.2025,39.90265998078737
18.207,39.90265998078737
18.2115,39.81578608964212
18.216,39.81578608964212
18.2205,39.802416091707606
18.225,39.802416091707606
18.2295,39.700685363162634
18.234,39.700685363162634
18.2385,39.86117877315453
18.243,39.49051875298742
18.2475,39.49051875298742
18.252,39.07349586797589
18.2565,39.07349586797589
18.261,38.59218246487478
18.2655,38.59218246487478
18.27,38.1707698611181
18.2745,38.1707698611181
18.279,37.66079973271872
18.2835,37.66079973271872
18.288,37.08632090643673
18.2925,37.08632090643673
18.297,37.125725906706485
18.3015,36.570000369808405
18.306,36.088120206970686
18.3105,36.21831567574338
18.315,36.21831567574338
18.3195,35.85846970035977
18.324,35.85846970035977
18.3285,35.3795480243507
18.333,35.3795480243507
18.3375,34.76723573043367
18.342,34.76723573043367
18.3465,34.179527874057506
18.351,34.179527874057506
18.3555,33.58221698415184
18.36,33.58221698415184
18.3645,32.9437261255085
18.369,32.9437261255085
18.3735,32.41811670278885
18.378,32.34050807094961
18.3825,32.34050807094961
18.387,31.757950288467246
18.3915,31.757950288467246
18.396,31.16748382538387
18.4005,31.16748382538387
18.405,30.595691748813813
18.4095,30.595691748813813
18.414,30.00764742710724
18.4185,30.00764742710724
18.423,29.39807620585622
18.4275,29.39807620585622
18.432,28.76263673225904
18.4365,28.802379584847184
18.441,28.14800522390172
18.4455,28.186188830708613
18.45,28.186188830708613
18.4545,27.57153607941439
18.459,27.57153607941439
18.4635,26.960017432030728
18.468,26.960017432030728
18.4725,26.363429672232147
18.477,26.363429672232147
18.4815,25.805252013471808
18.486,25.805252013471808
18.4905,25.247786978765443
18.495,25.247786978765443
18.4995,24.554566184826577
18.504,24.64751868642619
18.5085,23.965001490866403
18.513,24.026096620302653
18.5175,24.026096620302653
18.522,23.43226524654371
18.5265,23.43226524654371
18.531,22.823644895600722
18.5355,22.823644895600722
18.54,22.253673197190366
18.5445,22.253673197190366
18.549,21.713536164411828
18.5535,21.713536164411828
18.558,21.167238178527136
18.5625,21.171873928134357
18.567,20.582324221916448
18.5715,20.591568387393636
18.576,20.591568387393636
18.5805,20.011040694973154
18.585,20.011040694973154
18.5895,19.572170594484646
18.594,19.572170594484646
18.5985,19.232118684340193
18.603,19.232118684340193
18.6075,18.967202222520257
18.612,18.967202222520257
18.6165,18.764670771930618
18.621,18.764670771930618
18.6255,18.37618666842835
18.63,18.548636609054714
18.6345,18.179563849365252
18.639,18.29077509174397
18.6435,17.961126021354573
18.648,18.04749886960724
18.6525,17.76456786847015
18.657,17.881642423154
18.6615,17.881642423154
18.666,17.833990004066653
18.6705,17.833990004066653
18.675,17.877666065372075
18.6795,17.877666065372075
18.684,17.76811096603674
18.6885,17.972839593178573
18.693,17.86331639439365
18.6975,18.031741077665185
18.702,17.924292426010577
18.7065,18.056315073994107
18.711,17.964764002342616
18.7155,18.057734306386998
18.72,17.95328819954221
18.7245,18.01748058911781
18.729,18.01748058911781
18.7335,17.953083511997836
18.738,17.953083511997836
18.7425,17.842668761959697
18.747,17.842668761959697
18.7515,17.756765756776453
18.756,17.682463662303103
18.7605,17.598221714563326
18.765,17.515084166213533
18.7695,17.463341209813375
18.774,17.405718658283977
18.7785,17.301156849442496
18.783,17.265124384296325
18.7875,17.212386683285256
18.792,17.187392098414016
18.7965,17.187392098414016
18.801,17.195544853827816
18.8055,17.195544853827816
18.81,17.228809618429768
18.8145,17.264231272557815
18.819,17.273155397847813
18.8235,17.369477905188056
18.828,17.3692329793082
18.8325,17.452642012617556
18.837,17.41778275629131
18.8415,17.467729848175008
18.846,17.39534054374384
18.8505,17.405204832968327
18.855,17.344283535301372
18.8595,17.377503808382055
18.864,17.377503808382055
18.8685,17.411881958156645
18.873,17.411881958156645
18.8775,17.395866808367195
18.882,17.441419386047677
18.8865,17.440497026193622
18.891,17.442021565762843
18.8955,17.434593973434875
18.9,17.452166546664145
18.9045,17.437972577720387
18.909,17.500921988186214
18.9135,17.49931981722561
18.918,17.539363029721738
18.9225,17.544180793497244
18.927,17.53957909212884
18.9315,17.53957909212884
18.936,17.54702394945522
18.9405,17.51453601168175
18.945,17.533834435635818
18.9495,17.461983116274293
18.954,17.50257547916838
18.9585,17.400521121370065
18.963,17.49450612965697
18.9675,17.366277608459235
18.972,17.507408941782128
18.9765,17.387106165009968
18.981,17.563599000386674
18.9855,17.43534186062834
18.99,17.43534186062834
18.9945,17.54541290889757
18.999,17.54541290889757
19.0035,17.80367705520692
19.008,17.709728710722217
19.0125,17.968734867106857
19.017,17.8723487414751
19.0215,18.10624091300122
19.026,17.999730857422534
19.0305,18.24771087276709
19.035,18.08575412281254
19.0395,18.348003313352688
19.044,18.15687153249748
19.0485,18.483034853670812
19.053,18.305951226680865
19.0575,18.68445533831143
19.062,18.68445533831143
19.0665,18.88487426759133
19.071,18.88487426759133
19.0755,18.74816213601307
19.08,19.156468282041857
19.0845,19.08904455381895
19.089,19.54223374692595
19.0935,19.533040878208734
19.098,19.96618965108639
19.1025,19.965952631186
19.107,20.37576179601589
19.1115,20.37926265221783
19.116,20.79209227060058
19.1205,20.78175356924123
19.125,21.235232505085527
19.1295,21.235232505085527
19.134,21.696247928036247
19.1385,21.696247928036247
19.143,21.62296366946315
19.1475,22.21057430379936
19.152,22.128427144033502
19.1565,22.76455749106751
19.161,22.698864334472134
19.1655,23.349198716546404
19.17,23.31701572811952
19.1745,24.0045842972227
19.179,23.973089435610294
19.1835,24.66349304338246
19.188,24.66349304338246
19.1925,25.2680923207677
19.197,25.2680923207677
19.2015,25.889177239361647
19.206,25.889177239361647
19.2105,25.899050095293855
19.215,26.54672205005839
19.2195,26.57337784970553
19.224,27.244510461390416
19.2285,27.273253358235266
19.233,27.954514114749994
19.2375,28.009309729654653
19.242,28.691701094818903
19.2465,28.757609610023923
19.251,29.490823138933916
19.2555,29.490823138933916
19.26,30.26494991653319
19.2645,30.26494991653319
19.269,31.00524951171197
19.2735,31.00524951171197
19.278,30.96020608531259
19.2825,31.753150602545833
19.287,31.653482873304963
19.2915,32.43199828693145
19.296,32.28343186035762
19.3005,33.0621186155756
19.305,32.890543362420686
19.3095,33.66463885522275
19.314,33.66463885522275
19.3185,34.24055327646172
19.323,34.24055327646172
19.3275,34.850027275187465
19.332,34.850027275187465
19.3365,35.516622974758285
19.341,35.516622974758285
19.3455,35.38663508498353
19.35,36.18599811156163
19.3545,36.054249670844904
19.359,36.85921176873699
19.3635,36.71090118290266
19.368,37.49414927145532
19.3725,37.31300795633505
19.377,37.99803580277949
19.3815,37.99803580277949
19.386,38.40555192571266
19.3905,38.40555192571266
19.395,38.78937605684581
19.3995,38.78937605684581
19.404,38.744568964442486
19.4085,39.30607384904606
19.413,39.29214154095481
19.4175,39.85455420309637
19.422,39.84261678262231
19.4265,40.52147925145255
19.431,40.57678840415976
19.4355,41.237956019209435
19.44,41.3056614236912
19.4445,42.02101307281306
19.449,42.02101307281306
19.4535,42.743963019877405
19.458,42.743963019877405
19.4625,43.252284354419785
19.467,43.252284354419785
19.4715,43.032937229974145
19.476,43.531743633084965
19.4805,43.766349308853435
19.485,43.766349308853435
19.4895,43.6566132605228
19.494,44.04399751271033
19.4985,43.96283440378701
19.503,44.478494738077195
19.5075,44.478494738077195
19.512,44.92933939666976
19.5165,44.92933939666976
19.521,45.356027433325565
19.5255,45.356027433325565
19.53,45.875113922118295
19.5345,45.875113922118295
19.539,46.304270565294786
19.5435,46.304270565294786
19.548,46.794153235208
19.5525,46.794153235208
19.557,46.72763434719965
19.5615,47.17999767285527
19.566,47.17999767285527
19.5705,47.57142529103747
19.575,47.57142529103747
19.5795,47.98964346689845
19.584,47.98964346689845
19.5885,48.39262318166063
19.593,48.39262318166063
19.5975,48.80132205487299
19.602,48.80132205487299
19.6065,48.79866240786719
19.611,49.143933765232255
19.6155,49.49548706485781
19.62,49.49548706485781
19.6245,49.56256290348909
19.629,49.90504336225309
19.6335,49.90504336225309
19.638,50.35766927401406
19.6425,50.35766927401406
19.647,50.885271802420014
19.6515,50.885271802420014
19.656,51.473882317406975
19.6605,51.473882317406975
19.665,52.02291265262418
19.6695,52.02291265262418
19.674,52.64591974516251
19.6785,52.64591974516251
19.683,53.27257925425986
19.6875,53.27257925425986
19.692,53.563907710477594
19.6965,53.995765354449674
19.701,53.995765354449674
19.7055,54.71230445737597
19.71,54.71230445737597
19.7145,55.44906309310025
19.719,55.44906309310025
19.7235,56.2001816570371
19.728,56.2001816570371
19.7325,56.92487603311643
19.737,56.92487603311643
19.7415,57.645265950547575
19.746,57.645265950547575
19.7505,58.303994204720034
19.755,58.303994204720034
19.7595,58.303994204720034
19.764,58.95302835278653
19.7685,58.95302835278653
19.773,59.58449523771409
19.7775,59.58449523771409
19.782,60.2237942012635
19.7865,60.2237942012635
19.791,60.877392228357756
19.7955,60.877392228357756
19.8,61.55525398736243
19.8045,61.55525398736243
19.809,62.30345237362757
19.8135,62.30345237362757
19.818,63.082031853618574
19.8225,63.082031853618574
19.827,63.082031853618574
19.8315,63.82086556587201
19.836,63.82086556587201
19.8405,64.36937679297
19.845,64.36937679297
19.8495,64.9946981536687
19.854,64.9946981536687
19.8585,65.60279395527748
19.863,65.60279395527748
19.8675,66.21410197227169
19.872,66.21410197227169
19.8765,66.81501136949458
19.881,66.81501136949458
19.8855,67.2220043723058
19.89,67.43768481494344
19.8945,67.43768481494344
19.899,68.01764232660068
19.9035,68.01764232660068
19.908,68.5578030989409
19.9125,68.5578030989409
19.917,69.08489620799635
19.9215,69.08489620799635
19.926,69.48446448561727
19.9305,69.48446448561727
19.935,69.84437829340229
19.9395,69.84437829340229
19.944,70.16835015089359
19.9485,70.16835015089359
19.953,70.46381439655282
19.9575,70.51500936783059
19.962,70.83046488329246
19.9665,70.84476761391365
19.971,70.84476761391365
19.9755,71.17234680458893
19.98,71.17234680458893
19.9845,71.51222434958785
19.989,71.51222434958785
19.9935,71.85744574485553
19.998,71.85744574485553
20.0025,72.17581374755011
20.007,72.17581374755011
20.0115,72.45154770027294
20.016,72.4167260184265
20.0205,72.49999111495083
20.025,72.46387450992019
20.0295,72.47094455993611
20.034,72.4257139413573
20.0385,72.4257139413573
20.043,72.34473396506007
20.0475,72.34473396506007
20.052,72.22221951093984
20.0565,72.22221951093984
20.061,72.00562357926512
20.0655,72.00562357926512
20.07,71.71886215445369
20.0745,71.71886215445369
20.079,71.4453971872239
20.0835,71.38068190928249
20.088,71.06989828418307
20.0925,71.00693718088927
20.097,70.68301194891453
20.1015,70.62258789480734
20.106,70.62258789480734
20.1105,70.22350471465896
20.115,70.22350471465896
20.1195,69.80010764482897
20.124,69.80010764482897
20.1285,69.37217408678235
20.133,69.37217408678235
20.1375,68.98378952931196
20.142,68.89567282230902
20.1465,68.50640371582939
20.151,68.37295441828435
20.1555,67.92848234268251
20.16,67.74060229358169
20.1645,67.22828703257781
20.169,66.86746304619902
20.1735,66.86746304619902
20.178,65.78968916446397
20.1825,65.78968916446397
20.187,64.59875356250848
20.1915,64.59875356250848
20.196,63.89357059380062
20.2005,63.3995632974498
20.205,62.66076170382303
20.2095,62.22775345268881
20.214,61.649234059851416
20.2185,61.28874321441662
20.223,60.793838305250105
20.2275,60.459647209836454
20.232,59.99570486036057
20.2365,59.66895877168318
20.241,59.66895877168318
20.2455,58.90937064563464
20.25,58.90937064563464
20.2545,58.07750990288312
20.259,58.07750990288312
20.2635,57.583133110057396
20.268,57.38733221123291
20.2725,56.90575042532335
20.277,56.70531560737001
20.2815,56.22752073978059
20.286,56.00144851891839
20.2905,55.43069277847993
20.295,55.22462360270373
20.2995,54.732954845665354
20.304,54.56850496224544
20.3085,54.56850496224544
20.313,54.08256383346281
20.3175,54.08256383346281
20.322,53.679593829437124
